id,productcategory,productcost,productname,recomsaleprice,servingsize
4474,Protein Boxes & Bowls,5.95,Chicken & Quinoa Protein Bowl,6.35,
4177,Hot Brew,4.00,Clover Brewed Coffee,4.00,GRANDE
4549,Mercato,4.00,Mango & Coconut Yogurt Bowl,4.00,VENTI
4200,Hot Brew,1.00,Iced Coffee with Milk,3.00,LARGE
4169,Bottled Drinks,1.96,Teavana Pineapple Berry Iced Tea,3.62,
4239,Espresso Beverages,4.00,Caramel Macchiato,7.00,LARGE
4336,Espresso Beverages,3.00,Blonde Caff? Latte,4.00,GRANDE
4477,Yogurt, Fruit & Spreads,2.00,Avocado Spread,2.00,VENTI
4392,Blended Beverages,5.00,Java Chip Frappuccino Blended Coffee,7.00,LARGE
4502,Sandwiches, Paninis & Salads,1.00,Chicken & Double-Smoked Bacon,2.00,LARGE
4153,Bottled Drinks,3.69,Bottled Caramel Frappuccino Coffee Drink,7.66,
4538,Mercato,4.00,Herbed Chicken & Manchego Cheese Sandwich,6.00,LARGE
4428,Hot Breakfast,5.45,Sous Vide Egg Bites: Bacon & Gruyere,6.03,
4569,Mercato,7.00,Vegan Superberry Acai,8.00,GRANDE
4246,Espresso Beverages,6.00,Cinnamon Dolce Latte,6.00,GRANDE
4289,Espresso Beverages,3.00,Iced Skinny Cinnamon Dolce Latte,3.00,VENTI
4529,Mercato,1.00,Crispy Grilled Cheese Sandwich,4.00,LARGE
4359,Espresso Beverages,1.00,Vanilla Latte,3.00,LARGE
4404,Blended Beverages,5.00,S'mores Creme Frappuccino,6.00,LARGE
"4111,Iced Tea,5.00,""Teavana Shaken Iced Passion Tango"""" Tea Lemonade"",5.00,VENTI"
4116,Iced Tea,7.00,Teavana Shaken Peach Citrus White Tea Infusion,7.00,GRANDE
4295,Espresso Beverages,4.00,Iced Blonde  Vanilla Bean Coconutmilk Latte,4.00,VENTI
4094,Iced Tea,7.00,Teavana Shaken Iced Black Tea,8.00,LARGE
4453,Bakery,3.68,Everything Bagel,5.40,
4277,Espresso Beverages,6.00,Iced Caramel Macchiato,6.00,VENTI
4433,Hot Breakfast,5.61,Spinach,8.14,
4056,Refreshers Beverages,4.00,Pink Drink,5.00,GRANDE
4042,Cold Brew,7.00,Cold Brew Coffee with Milk,7.00,VENTI
4405,Blended Beverages,5.00,S'mores Creme Frappuccino,6.00,GRANDE
4194,Hot Brew,3.00,Featured Dark Roast,5.00,LARGE
4160,Bottled Drinks,4.58,Bottled Vanilla Frappuccino Coffee Drink,5.77,
4065,Refreshers Beverages,4.00,Very Berry Hibiscus Lemonade Starbucks Refreshers,4.00,GRANDE
4328,Espresso Beverages,4.00,Skinny Mocha,4.00,VENTI
4018,Cold Brew,8.00,Iced Coffee with Milk,8.00,VENTI
4439,Bakery,4.70,Blueberry Muffin,7.23,
4344,Espresso Beverages,4.00,Blonde Doubleshot On Ice,6.00,LARGE
4054,Refreshers Beverages,2.00,Mango Dragonfruit Starbucks Refreshers Beverage,2.00,VENTI
"4061,Refreshers Beverages,6.00,""Strawberry Acai Starbucks Refreshers"""" Beverage"",9.00,LARGE"
4363,Espresso Beverages,3.00,White Chocolate Mocha,4.00,GRANDE
4455,Bakery,7.18,Frosted Doughnut Cake Pop,8.54,
4531,Mercato,1.00,Crispy Grilled Cheese Sandwich,1.00,VENTI
4560,Mercato,5.00,Smoked Pork Cubano,5.00,GRANDE
4412,Blended Beverages,2.00,Strawberry Frappuccino Blended Creme,2.00,VENTI
4571,Mercato,6.00,Za'atar Chicken & Lemon Tahini,6.00,LARGE
4367,Blended Beverages,6.00,Caffe Vanilla Frappuccino Blended Coffee,6.00,VENTI
4464,Bakery,6.00,Pumpkin Bread,7.79,
4118,Iced Tea,3.00,Teavana Shaken Peach Citrus White Tea Infusion Lemonade,6.00,LARGE
4299,Espresso Beverages,5.00,Iced Blonde Caffe Latte,7.00,LARGE
4308,Espresso Beverages,1.00,Iced Blonde Flat White,3.00,LARGE
4327,Espresso Beverages,4.00,Skinny Mocha,4.00,GRANDE
4312,Espresso Beverages,1.00,Iced Blonde Vanilla Latte,2.00,GRANDE
4144,Bottled Drinks,4.62,Starbucks Doubleshot Energy Mexican Mocha,7.09,
4242,Espresso Beverages,5.00,Cinnamon Cloud Macchiato,7.00,LARGE
4193,Hot Brew,1.00,Decaf Pike Place Roast,1.00,VENTI
4080,Evolution Fresh,2.00,Evolution Fresh Organic Green Devotion,3.00,GRANDE
4320,Espresso Beverages,5.00,Iced White Chocolate Mocha,7.00,LARGE
4037,Cold Brew,1.00,Cold Brew Coffee,3.00,LARGE
4218,Hot Brew,7.00,Cold Brew Coffee with Milk,9.00,LARGE
4540,Mercato,4.00,Herbed Chicken & Manchego Cheese Sandwich,4.00,VENTI
4294,Espresso Beverages,4.00,Iced Blonde  Vanilla Bean Coconutmilk Latte,4.00,GRANDE
4011,Cold Brew,2.00,Cold Brew with Cascara Cold Foam,3.00,GRANDE
4522,Mercato,2.00,Baja Black Bean Veggie Wrap,2.00,VENTI
4089,Evolution Fresh,7.00,Evolution Fresh Watermelon,7.00,GRANDE
"4109,Iced Tea,5.00,""Teavana Shaken Iced Passion Tango"""" Tea Lemonade"",6.00,LARGE"
4047,Refreshers Beverages,7.00,Dragon Drink,7.00,GRANDE
4430,Hot Breakfast,4.58,Sous Vide Egg Bites: Egg White & Red Pepper,6.17,
4373,Blended Beverages,8.00,Caramel Ribbon Crunch Creme Frappuccino,8.00,VENTI
"4063,Refreshers Beverages,6.00,""Strawberry Acai Starbucks Refreshers"""" Beverage"",6.00,VENTI"
4457,Bakery,3.08,Iced Lemon Loaf Cake,6.20,
4022,Cold Brew,2.00,Iced Espresso Classics - Caffe Mocha,4.00,LARGE
4527,Mercato,5.00,Chipotle Chicken Wrap,5.00,GRANDE
4292,Espresso Beverages,7.00,Iced Skinny Mocha,7.00,VENTI
4201,Hot Brew,1.00,Iced Coffee with Milk,1.00,GRANDE
4050,Refreshers Beverages,5.00,Mango Dragonfruit Lemonade Starbucks Refreshers Beverage,6.00,GRANDE
4385,Blended Beverages,2.00,Coffee Frappuccino Blended Coffee,2.00,VENTI
4318,Espresso Beverages,3.00,Iced Vanilla Latte,3.00,GRANDE
4369,Blended Beverages,3.00,Caramel Frappuccino Blended Coffee,3.00,GRANDE
4334,Espresso Beverages,1.00,Blonde Caff? Americano,1.00,VENTI
4070,Refreshers Beverages,3.00,Violet Drink,5.00,LARGE
4115,Iced Tea,7.00,Teavana Shaken Peach Citrus White Tea Infusion,9.00,LARGE
4307,Espresso Beverages,2.00,Iced Blonde Cinnamon Cloud Macchiato,2.00,VENTI
4346,Espresso Beverages,4.00,Blonde Doubleshot On Ice,4.00,VENTI
4034,Cold Brew,6.00,Nitro Cold Brew with Sweet Cream,8.00,LARGE
4546,Mercato,3.00,Honey BBQ Sriracha Chicken Sandwich,4.00,VENTI
4393,Blended Beverages,5.00,Java Chip Frappuccino Blended Coffee,6.00,GRANDE
4402,Blended Beverages,5.00,Mocha Frappuccino Blended Coffee,5.00,GRANDE
4541,Mercato,1.00,Holiday Turkey & Stuffing Panini,2.00,LARGE
4315,Espresso Beverages,2.00,Iced Vanilla Bean Coconutmilk Latte,2.00,GRANDE
4545,Mercato,4.00,Honey BBQ Sriracha Chicken Sandwich,4.00,GRANDE
4361,Espresso Beverages,2.00,Vanilla Latte,2.00,VENTI
4145,Bottled Drinks,6.42,Starbucks Doubleshot Energy Mocha Drink,6.78,
4041,Cold Brew,7.00,Cold Brew Coffee with Milk,7.00,GRANDE
4006,Hot Brew,6.00,Hot Chocolate,7.00,VENTI
4082,Evolution Fresh,3.00,Evolution Fresh Organic Strawberry Lemonade,3.00,LARGE
4238,Espresso Beverages,2.00,Caramel Cloud Macchiato,2.00,VENTI
4287,Espresso Beverages,3.00,Iced Skinny Cinnamon Dolce Latte,3.00,LARGE
4523,Mercato,6.00,Chicken & Fig Spread Sandwich,7.00,LARGE
4038,Cold Brew,1.00,Cold Brew Coffee,2.00,GRANDE
4480,Yogurt, Fruit & Spreads,1.00,Berry Trio Parfait,2.00,VENTI
4293,Espresso Beverages,4.00,Iced Blonde  Vanilla Bean Coconutmilk Latte,5.00,LARGE
4520,Mercato,2.00,Baja Black Bean Veggie Wrap,3.00,LARGE
4514,Sandwiches, Paninis & Salads,4.00,Tomato & Mozzarella,5.00,LARGE
4475,Yogurt, Fruit & Spreads,2.00,Avocado Spread,2.00,LARGE
4335,Espresso Beverages,3.00,Blonde Caff? Latte,4.00,LARGE
4273,Espresso Beverages,6.00,Iced Caramel Cloud Macchiato,6.00,GRANDE
4013,Cold Brew,6.00,Iced Coffee,8.00,LARGE
4259,Espresso Beverages,4.00,Flat White,4.00,VENTI
4437,Bakery,6.67,Banana Nut Bread,7.47,
4252,Espresso Beverages,3.00,Espresso Con Panna,3.00,GRANDE
4389,Blended Beverages,5.00,Espresso Frappuccino Blended Coffee,6.00,LARGE
4282,Espresso Beverages,3.00,Iced Cinnamon Dolce Latte,4.00,GRANDE
4459,Bakery,3.31,Morning Bun,5.98,
4551,Mercato,8.00,Roasted Turkey & Dill Havarti Sandwich,8.00,GRANDE
4516,Sandwiches, Paninis & Salads,4.00,Tomato & Mozzarella,4.00,VENTI
4025,Cold Brew,4.00,Iced Espresso Classics - Caramel Macchiato,6.00,LARGE
4103,Iced Tea,7.00,Teavana Shaken Iced Green Tea Lemonade,8.00,LARGE
4170,Hot Brew,1.00,Blonde Roast,2.00,LARGE
4189,Hot Brew,3.00,Cold Brew with Salted Cream Cold Foam,3.00,GRANDE
4467,Bakery,5.37,The Classic - Bantam Bagels (2 Pack),9.36,
4568,Mercato,7.00,Vegan Superberry Acai,8.00,LARGE
4101,Iced Tea,3.00,Teavana Shaken Iced Green Tea,3.00,GRANDE
4493,Yogurt, Fruit & Spreads,3.00,Mango & Coconut Yogurt Bowl,4.00,LARGE
4231,Espresso Beverages,5.00,Caffe Mocha,5.00,GRANDE
4002,?Hot Brew,7.00,Cinnamon Dolce Creme,7.00,GRANDE
